2024-09-25 11:20:44,691 - INFO - Bayes BCE loss: 1.5660, Standard error: 0.0113
2024-09-25 11:20:47,864 - INFO - Iter: 20, Train loss: 2.8036, BCE: 1.5660, LR: 0.001000, Time: 2.25s
2024-09-25 11:20:49,112 - INFO - Iter: 40, Train loss: 2.7871, BCE: 1.5660, LR: 0.001000, Time: 3.50s
2024-09-25 11:20:50,349 - INFO - Iter: 60, Train loss: 2.7826, BCE: 1.5660, LR: 0.001000, Time: 4.73s
2024-09-25 11:20:51,596 - INFO - Iter: 80, Train loss: 2.7747, BCE: 1.5660, LR: 0.001000, Time: 5.98s
2024-09-25 11:20:52,855 - INFO - Iter: 100, Train loss: 2.7750, BCE: 1.5660, LR: 0.001000, Time: 7.24s
2024-09-25 11:20:54,097 - INFO - Iter: 120, Train loss: 2.7725, BCE: 1.5660, LR: 0.001000, Time: 8.48s
2024-09-25 11:20:55,345 - INFO - Iter: 140, Train loss: 2.7683, BCE: 1.5660, LR: 0.001000, Time: 9.73s
2024-09-25 11:20:56,591 - INFO - Iter: 160, Train loss: 2.7662, BCE: 1.5660, LR: 0.001000, Time: 10.98s
2024-09-25 11:20:57,857 - INFO - Iter: 180, Train loss: 2.7584, BCE: 1.5660, LR: 0.001000, Time: 12.24s
2024-09-25 11:20:59,134 - INFO - Iter: 200, Train loss: 2.7547, BCE: 1.5660, LR: 0.001000, Time: 13.52s
2024-09-25 11:21:00,430 - INFO - Iter: 220, Train loss: 2.7482, BCE: 1.5660, LR: 0.001000, Time: 14.81s
2024-09-25 11:21:01,679 - INFO - Iter: 240, Train loss: 2.7372, BCE: 1.5660, LR: 0.001000, Time: 16.06s
2024-09-25 11:21:02,947 - INFO - Iter: 260, Train loss: 2.7285, BCE: 1.5660, LR: 0.001000, Time: 17.33s
2024-09-25 11:21:04,184 - INFO - Iter: 280, Train loss: 2.7143, BCE: 1.5660, LR: 0.001000, Time: 18.57s
2024-09-25 11:21:05,416 - INFO - Iter: 300, Train loss: 2.7023, BCE: 1.5660, LR: 0.001000, Time: 19.80s
2024-09-25 11:21:06,648 - INFO - Iter: 320, Train loss: 2.6874, BCE: 1.5660, LR: 0.001000, Time: 21.03s
2024-09-25 11:21:07,968 - INFO - Iter: 340, Train loss: 2.6709, BCE: 1.5660, LR: 0.001000, Time: 22.35s
2024-09-25 11:21:09,197 - INFO - Iter: 360, Train loss: 2.6532, BCE: 1.5660, LR: 0.001000, Time: 23.58s
2024-09-25 11:21:10,438 - INFO - Iter: 380, Train loss: 2.6335, BCE: 1.5660, LR: 0.001000, Time: 24.82s
