2024-09-25 12:05:21,238 - INFO - Bayes BCE loss: 0.8430, Standard error: 0.0098
2024-09-25 12:05:27,281 - INFO - Iter: 20, P Train loss: 149.9369, Train loss: 2.9870, BCE: 0.8430, LR: 0.001000, Time: 4.99s
2024-09-25 12:05:31,090 - INFO - Iter: 40, P Train loss: 100.4958, Train loss: 2.7967, BCE: 0.8430, LR: 0.001000, Time: 8.80s
2024-09-25 12:05:34,891 - INFO - Iter: 60, P Train loss: 90.7488, Train loss: 2.7679, BCE: 0.8430, LR: 0.001000, Time: 12.60s
2024-09-25 12:05:38,705 - INFO - Iter: 80, P Train loss: 86.5665, Train loss: 2.7579, BCE: 0.8430, LR: 0.001000, Time: 16.42s
2024-09-25 12:05:42,512 - INFO - Iter: 100, P Train loss: 84.2937, Train loss: 2.7348, BCE: 0.8430, LR: 0.001000, Time: 20.22s
2024-09-25 12:05:46,325 - INFO - Iter: 120, P Train loss: 82.4400, Train loss: 2.6988, BCE: 0.8430, LR: 0.001000, Time: 24.04s
2024-09-25 12:05:50,136 - INFO - Iter: 140, P Train loss: 80.6840, Train loss: 2.6341, BCE: 0.8430, LR: 0.001000, Time: 27.85s
2024-09-25 12:05:53,936 - INFO - Iter: 160, P Train loss: 78.9512, Train loss: 2.5405, BCE: 0.8430, LR: 0.001000, Time: 31.65s
2024-09-25 12:05:57,781 - INFO - Iter: 180, P Train loss: 77.2765, Train loss: 2.4525, BCE: 0.8430, LR: 0.001000, Time: 35.49s
2024-09-25 12:06:01,645 - INFO - Iter: 200, P Train loss: 75.5948, Train loss: 2.3487, BCE: 0.8430, LR: 0.001000, Time: 39.36s
2024-09-25 12:06:05,624 - INFO - Iter: 220, P Train loss: 73.9533, Train loss: 2.2491, BCE: 0.8430, LR: 0.001000, Time: 43.34s
2024-09-25 12:06:09,464 - INFO - Iter: 240, P Train loss: 72.3970, Train loss: 2.1545, BCE: 0.8430, LR: 0.001000, Time: 47.18s
2024-09-25 12:06:13,323 - INFO - Iter: 260, P Train loss: 70.9017, Train loss: 2.0610, BCE: 0.8430, LR: 0.001000, Time: 51.03s
2024-09-25 12:06:17,161 - INFO - Iter: 280, P Train loss: 69.4775, Train loss: 1.9871, BCE: 0.8430, LR: 0.001000, Time: 54.87s
2024-09-25 12:06:20,961 - INFO - Iter: 300, P Train loss: 68.0641, Train loss: 1.9177, BCE: 0.8430, LR: 0.001000, Time: 58.67s
2024-09-25 12:06:24,858 - INFO - Iter: 320, P Train loss: 66.6697, Train loss: 1.8552, BCE: 0.8430, LR: 0.001000, Time: 62.57s
2024-09-25 12:06:28,638 - INFO - Iter: 340, P Train loss: 65.2716, Train loss: 1.8014, BCE: 0.8430, LR: 0.001000, Time: 66.35s
2024-09-25 12:06:32,396 - INFO - Iter: 360, P Train loss: 63.9509, Train loss: 1.7502, BCE: 0.8430, LR: 0.001000, Time: 70.11s
2024-09-25 12:06:36,171 - INFO - Iter: 380, P Train loss: 62.6828, Train loss: 1.7128, BCE: 0.8430, LR: 0.001000, Time: 73.88s
2024-09-25 12:06:39,938 - INFO - Iter: 400, P Train loss: 61.4408, Train loss: 1.6750, BCE: 0.8430, LR: 0.001000, Time: 77.65s
2024-09-25 12:06:43,839 - INFO - Iter: 420, P Train loss: 60.2606, Train loss: 1.6437, BCE: 0.8430, LR: 0.001000, Time: 81.55s
2024-09-25 12:06:47,589 - INFO - Iter: 440, P Train loss: 59.0923, Train loss: 1.6138, BCE: 0.8430, LR: 0.001000, Time: 85.30s
2024-09-25 12:06:51,361 - INFO - Iter: 460, P Train loss: 57.9495, Train loss: 1.5850, BCE: 0.8430, LR: 0.001000, Time: 89.07s
2024-09-25 12:06:55,110 - INFO - Iter: 480, P Train loss: 56.8439, Train loss: 1.5600, BCE: 0.8430, LR: 0.001000, Time: 92.82s
2024-09-25 12:06:58,886 - INFO - Iter: 500, P Train loss: 55.7813, Train loss: 1.5374, BCE: 0.8430, LR: 0.001000, Time: 96.60s
2024-09-25 12:07:02,712 - INFO - Iter: 520, P Train loss: 54.7443, Train loss: 1.5209, BCE: 0.8430, LR: 0.001000, Time: 100.42s
2024-09-25 12:07:06,516 - INFO - Iter: 540, P Train loss: 53.7329, Train loss: 1.5051, BCE: 0.8430, LR: 0.001000, Time: 104.23s
2024-09-25 12:07:10,325 - INFO - Iter: 560, P Train loss: 52.7570, Train loss: 1.4861, BCE: 0.8430, LR: 0.001000, Time: 108.04s
