2024-09-25 12:05:12,380 - INFO - Bayes BCE loss: 0.5797, Standard error: 0.0077
2024-09-25 12:05:18,318 - INFO - Iter: 20, P Train loss: 217.0405, Train loss: 3.1665, BCE: 0.5797, LR: 0.001000, Time: 4.99s
2024-09-25 12:05:22,139 - INFO - Iter: 40, P Train loss: 130.8275, Train loss: 2.7698, BCE: 0.5797, LR: 0.001000, Time: 8.81s
2024-09-25 12:05:27,018 - INFO - Iter: 60, P Train loss: 117.9008, Train loss: 2.6830, BCE: 0.5797, LR: 0.001000, Time: 13.69s
2024-09-25 12:05:30,883 - INFO - Iter: 80, P Train loss: 111.6460, Train loss: 2.6251, BCE: 0.5797, LR: 0.001000, Time: 17.56s
2024-09-25 12:05:35,268 - INFO - Iter: 100, P Train loss: 107.2433, Train loss: 2.5310, BCE: 0.5797, LR: 0.001000, Time: 21.94s
2024-09-25 12:05:39,147 - INFO - Iter: 120, P Train loss: 103.4863, Train loss: 2.4087, BCE: 0.5797, LR: 0.001000, Time: 25.82s
2024-09-25 12:05:42,984 - INFO - Iter: 140, P Train loss: 100.3203, Train loss: 2.2566, BCE: 0.5797, LR: 0.001000, Time: 29.66s
2024-09-25 12:05:46,826 - INFO - Iter: 160, P Train loss: 97.6146, Train loss: 2.0982, BCE: 0.5797, LR: 0.001000, Time: 33.50s
2024-09-25 12:05:50,786 - INFO - Iter: 180, P Train loss: 95.0797, Train loss: 1.9522, BCE: 0.5797, LR: 0.001000, Time: 37.46s
2024-09-25 12:05:54,645 - INFO - Iter: 200, P Train loss: 92.7813, Train loss: 1.8208, BCE: 0.5797, LR: 0.001000, Time: 41.32s
2024-09-25 12:05:58,604 - INFO - Iter: 220, P Train loss: 90.5542, Train loss: 1.7005, BCE: 0.5797, LR: 0.001000, Time: 45.28s
2024-09-25 12:06:02,469 - INFO - Iter: 240, P Train loss: 88.4072, Train loss: 1.5928, BCE: 0.5797, LR: 0.001000, Time: 49.14s
2024-09-25 12:06:06,310 - INFO - Iter: 260, P Train loss: 86.2165, Train loss: 1.4983, BCE: 0.5797, LR: 0.001000, Time: 52.98s
2024-09-25 12:06:10,159 - INFO - Iter: 280, P Train loss: 84.0415, Train loss: 1.4189, BCE: 0.5797, LR: 0.001000, Time: 56.83s
2024-09-25 12:06:14,011 - INFO - Iter: 300, P Train loss: 81.8394, Train loss: 1.3540, BCE: 0.5797, LR: 0.001000, Time: 60.69s
2024-09-25 12:06:17,855 - INFO - Iter: 320, P Train loss: 79.5732, Train loss: 1.2937, BCE: 0.5797, LR: 0.001000, Time: 64.53s
