2024-09-25 10:36:14,080 - INFO - Bayes BCE loss: 1.2909, Standard error: 0.0113
2024-09-25 10:36:17,214 - INFO - Iter: 20, Train loss: 2.7882, BCE: 1.2909, LR: 0.001000, Time: 2.22s
2024-09-25 10:36:18,539 - INFO - Iter: 40, Train loss: 2.7756, BCE: 1.2909, LR: 0.001000, Time: 3.54s
2024-09-25 10:36:19,845 - INFO - Iter: 60, Train loss: 2.7670, BCE: 1.2909, LR: 0.001000, Time: 4.85s
2024-09-25 10:36:21,158 - INFO - Iter: 80, Train loss: 2.7523, BCE: 1.2909, LR: 0.001000, Time: 6.16s
2024-09-25 10:36:22,488 - INFO - Iter: 100, Train loss: 2.7304, BCE: 1.2909, LR: 0.001000, Time: 7.49s
2024-09-25 10:36:23,797 - INFO - Iter: 120, Train loss: 2.7054, BCE: 1.2909, LR: 0.001000, Time: 8.80s
2024-09-25 10:36:25,112 - INFO - Iter: 140, Train loss: 2.6743, BCE: 1.2909, LR: 0.001000, Time: 10.11s
2024-09-25 10:36:26,431 - INFO - Iter: 160, Train loss: 2.6394, BCE: 1.2909, LR: 0.001000, Time: 11.43s
2024-09-25 10:36:27,759 - INFO - Iter: 180, Train loss: 2.6080, BCE: 1.2909, LR: 0.001000, Time: 12.76s
2024-09-25 10:36:29,109 - INFO - Iter: 200, Train loss: 2.5731, BCE: 1.2909, LR: 0.001000, Time: 14.11s
2024-09-25 10:36:30,484 - INFO - Iter: 220, Train loss: 2.5388, BCE: 1.2909, LR: 0.001000, Time: 15.48s
2024-09-25 10:36:31,846 - INFO - Iter: 240, Train loss: 2.5044, BCE: 1.2909, LR: 0.001000, Time: 16.85s
2024-09-25 10:36:33,196 - INFO - Iter: 260, Train loss: 2.4758, BCE: 1.2909, LR: 0.001000, Time: 18.20s
2024-09-25 10:36:34,527 - INFO - Iter: 280, Train loss: 2.4467, BCE: 1.2909, LR: 0.001000, Time: 19.53s
2024-09-25 10:36:35,847 - INFO - Iter: 300, Train loss: 2.4212, BCE: 1.2909, LR: 0.001000, Time: 20.85s
2024-09-25 10:36:37,172 - INFO - Iter: 320, Train loss: 2.3947, BCE: 1.2909, LR: 0.001000, Time: 22.17s
